Name, Assignment 1, Assignment 2, Assignment 3, Assignment 4, Assignment 5, Assignment 6, Midterm, Attendance
Student 1, 3.85, 3.60, 4.00, 3.70, 3.50, 3.80, 94.00, 99.00
Student 2, 3.85, 3.85, 3.80, 4.00, 3.40, 3.80, 94.00, 95.00
Student 3, 3.90, 3.40, 4.00, 3.65, 3.70, 3.80, 91.00, 100.00
Student 4, 3.80, 3.75, 3.85, 3.80, 3.90, 3.80, 81.00, 100.00
Student 5, 3.90, 3.40, 3.90, 3.70, 3.50, 0.00, 94.00, 84.00
Student 6, 4.00, 3.90, 4.00, 4.00, 4.00, 4.00, 99.00, 100.00
Student 7, 3.85, 3.85, 3.90, 3.80, 3.80, 4.00, 95.00, 100.00
Student 8, 3.95, 4.00, 3.85, 3.85, 3.50, 3.90, 93.50, 98.00
Student 9, 3.85, 3.85, 3.90, 3.70, 3.60, 3.90, 88.00, 92.00
Student 10, 3.80, 4.00, 3.90, 3.85, 3.90, 3.90, 96.00, 100.00
Student 11, 3.90, 4.00, 4.00, 3.90, 3.80, 3.90, 92.00, 98.00
Student 12, 3.95, 3.90, 4.00, 3.60, 3.50, 3.80, 90.00, 100.00
Student 13, 3.80, 3.90, 3.85, 3.60, 3.70, 3.85, 91.00, 98.00
Student 14, 4.00, 4.00, 4.00, 3.75, 4.00, 3.85, 96.00, 100.00
Student 15, 3.90, 3.60, 3.80, 3.80, 3.60, 3.90, 91.50, 96.00
Student 16, 3.80, 3.90, 3.60, 3.70, 4.10, 4.00, 92.00, 81.00
Student 17, 4.00, 4.00, 4.00, 4.00, 4.00, 3.90, 99.00, 99.00
Student 18, 3.90, 3.90, 3.80, 3.65, 3.90, 3.80, 90.00, 98.00
Student 19, 3.90, 3.85, 3.90, 4.00, 3.75, 3.85, 88.50, 100.00
Student 20, 3.90, 3.95, 3.80, 4.00, 4.00, 3.90, 94.00, 99.00
Student 21, 3.85, 3.80, 3.80, 3.80, 3.70, 3.90, 96.00, 99.00
Student 22, 3.90, 3.85, 3.90, 3.80, 3.40, 3.80, 88.00, 76.00
Student 23, 3.90, 3.70, 3.90, 3.95, 3.70, 3.90, 91.00, 100.00




